0.31,0.01,0,0,0.02,0.02,0.1,0.02,0.02,0
0.03,0.36,0,0.01,0.01,0.01,0.02,0.02,0.03,0
0,0,0.4,0,0.01,0.04,0,0,0,0.01
0,0.02,0,0.37,0.06,0,0,0,0,0
0.02,0,0,0.01,0.41,0.01,0.02,0,0,0.01
0,0,0.01,0,0,0.36,0.04,0.04,0,0
0.03,0,0,0,0.02,0.09,0.33,0.03,0.01,0.01
0,0,0,0,0,0.06,0.02,0.31,0.02,0
0,0.01,0,0,0,0.01,0.01,0.14,0.32,0
0,0,0.02,0,0.11,0.01,0.03,0,0,0.29
