"file","n","mean_sec","median_sec","sd_sec","q05_sec","q25_sec","q75_sec","q95_sec","parent_dir","model","POP","R0","NetworkDir","NetworkSize","NetworkLabel"
"../R0_sensitivity_analysis/Network_100_Node/seatird-deterministic_POP-1M_R0-3.7/simulation_times.csv",133,648.63782974292,641.31006587483,20.1878473865989,631.298175198212,635.716044032946,655.207359688357,681.695905541256,"seatird-deterministic_POP-1M_R0-3.7","seatird-deterministic","1M",3.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-deterministic_POP-1M_R0-3.9/simulation_times.csv",133,645.194014407302,637.871418192983,20.6441096327452,627.210657485947,633.208953911439,649.788640636951,685.300681135803,"seatird-deterministic_POP-1M_R0-3.9","seatird-deterministic","1M",3.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-deterministic_POP-1M_R0-4.1/simulation_times.csv",132,651.313581593913,644.501473511569,20.8520202380292,635.375557487644,638.74816022208,654.929641759954,694.098703683261,"seatird-deterministic_POP-1M_R0-4.1","seatird-deterministic","1M",4.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-0.5/simulation_times.csv",78,1097.42251545193,1088.56900796201,30.8632416035236,1066.58887240803,1075.56258612964,1109.90959025081,1154.44186897017,"seatird-stochastic_POP-1M_R0-0.5","seatird-stochastic","1M",0.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-0.7/simulation_times.csv",69,1237.30260013851,1227.63321569562,32.6456627720301,1201.51705758013,1211.83670655265,1256.53670999222,1297.3814405147,"seatird-stochastic_POP-1M_R0-0.7","seatird-stochastic","1M",0.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-0.9/simulation_times.csv",65,1323.89190714574,1314.33652209118,30.0692982674379,1293.82529790439,1299.64055587538,1332.3659972921,1382.78526418619,"seatird-stochastic_POP-1M_R0-0.9","seatird-stochastic","1M",0.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-1.1/simulation_times.csv",65,1316.15915382017,1317.61943202093,61.6088754420129,1219.22991202064,1261.62475652434,1359.77831623517,1408.81465855986,"seatird-stochastic_POP-1M_R0-1.1","seatird-stochastic","1M",1.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-1.3/simulation_times.csv",72,1186.93929169477,1172.52410605736,63.4599974043866,1097.65157693336,1140.30007202877,1232.77326151496,1296.07199365934,"seatird-stochastic_POP-1M_R0-1.3","seatird-stochastic","1M",1.3,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-1.5/simulation_times.csv",78,1102.92183123044,1099.35577647388,55.7524944906884,1029.33413760057,1056.88339825068,1129.9164255457,1206.82948087826,"seatird-stochastic_POP-1M_R0-1.5","seatird-stochastic","1M",1.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-1.7/simulation_times.csv",82,1043.68715702597,1033.64604962524,51.6977985173196,979.76406829441,1008.63158941129,1069.30769781023,1127.5017508571,"seatird-stochastic_POP-1M_R0-1.7","seatird-stochastic","1M",1.7,"Network_100_Node",100,"Nodes: 100"
