0.54,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.02,0
0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.45,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0
0,0,0.03,0,0.4,0,0,0,0,0,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0
0,0,0.12,0.02,0,0.36,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03
0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.43,0,0,0.01,0,0,0.01,0,0.03,0,0,0,0,0,0,0
0,0,0.02,0,0.01,0,0.02,0,0.47,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0
0,0,0.04,0,0,0,0,0,0,0.43,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0.01,0.01,0.07,0,0,0
0,0,0,0,0.01,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0.01,0
0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0.01,0,0,0
0.02,0,0,0,0.01,0,0,0.01,0,0,0.02,0,0,0,0,0.43,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.44,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.51,0.01,0.09,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.62,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.04,0,0.41,0,0
0,0.03,0.01,0,0.02,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0.47,0
0,0,0.11,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34
