0.22,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0
0,0.36,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0
0,0,0.42,0,0,0,0,0.01,0,0,0,0,0,0.01,0
0,0,0,0.31,0.02,0,0,0.03,0,0.01,0,0.01,0,0,0
0,0,0,0.03,0.29,0.04,0,0,0,0,0,0,0,0,0
0,0,0,0,0.02,0.41,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.36,0.01,0.01,0,0,0,0,0,0
0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
0.01,0,0.02,0,0,0,0,0.01,0,0.29,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0
0,0,0,0,0,0,0,0.16,0,0,0.01,0.2,0,0,0
0,0,0,0,0,0,0,0.01,0,0,0.06,0,0.31,0,0
0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.34,0
0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.37
