0.39,0,0.01,0,0,0,0,0,0.01,0,0.01,0.02,0.01,0
0,0.45,0,0,0,0,0.01,0,0,0,0,0,0,0
0,0,0.29,0,0,0,0,0,0.02,0,0.06,0.04,0.02,0.01
0,0,0,0.42,0,0,0,0,0,0,0,0.01,0,0
0,0,0,0,0.32,0,0,0,0.09,0,0.01,0,0.06,0
0,0,0,0,0,0.32,0.03,0.11,0,0,0,0,0,0.03
0,0,0,0,0,0,0.37,0.03,0,0,0,0,0,0.01
0,0,0,0,0,0.02,0.13,0.35,0.01,0,0,0,0,0.01
0,0,0,0,0.02,0,0,0,0.37,0,0.02,0,0.1,0.02
0,0,0,0,0,0,0,0,0.02,0.46,0,0,0,0
0,0,0.01,0,0,0,0,0,0.07,0,0.24,0.03,0.14,0.01
0.01,0,0.03,0,0,0,0,0,0.02,0,0.09,0.29,0.06,0
0,0,0,0,0.01,0,0,0,0.09,0,0.04,0,0.4,0
0,0,0,0,0,0,0,0,0.08,0,0.02,0,0.01,0.35
