0.34,0,0.09,0.01,0,0.02,0,0,0.01,0,0,0.02,0,0,0,0
0,0.42,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
0.01,0,0.47,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0.02
0.03,0,0.01,0.37,0,0.03,0,0,0.04,0.01,0,0,0.03,0,0,0
0,0,0,0,0.43,0,0,0,0,0.05,0,0,0,0.01,0.01,0
0.03,0,0.02,0,0,0.39,0,0.01,0,0.01,0,0.01,0.02,0,0,0
0,0,0,0,0,0.01,0.42,0.02,0,0,0,0.01,0,0.02,0,0
0,0,0.03,0,0,0.04,0.05,0.3,0,0,0,0.04,0,0,0,0
0.07,0,0.05,0.01,0,0.01,0,0,0.27,0,0,0,0,0,0,0.01
0,0,0,0,0.01,0.01,0,0,0,0.43,0.01,0,0.01,0.01,0,0
0,0,0,0,0,0.01,0,0,0,0.09,0.28,0,0.02,0,0,0
0.03,0,0.17,0,0,0.04,0,0.03,0,0.01,0,0.26,0,0,0,0.01
0.01,0,0,0.01,0,0.1,0,0,0,0.04,0.01,0,0.27,0.01,0,0
0,0,0,0,0.01,0.04,0.05,0,0,0.07,0,0,0.01,0.31,0,0
0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0.38,0
0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.32
