0.35,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0
0,0.31,0.02,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0.05,0,0,0,0,0,0,0,0.04
0,0.03,0.26,0,0,0.01,0,0,0,0,0,0.01,0.03,0,0.01,0.01,0,0,0,0,0,0,0,0.14
0,0.03,0.01,0.23,0,0,0,0.02,0,0,0,0,0.01,0,0.01,0.1,0,0.05,0,0,0,0,0,0
0,0.03,0.01,0,0.21,0,0,0,0.02,0,0,0,0,0.02,0,0.01,0.05,0,0,0.1,0,0.01,0,0.01
0,0.03,0.09,0,0,0.24,0,0,0,0.02,0,0,0.05,0,0.02,0.01,0,0,0,0,0,0,0,0.04
0,0,0.01,0,0,0,0.23,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.01
0,0.01,0,0.01,0,0,0,0.2,0,0,0,0,0,0,0.01,0.1,0,0.02,0,0,0,0,0,0
0,0.01,0,0,0.04,0,0,0,0.27,0,0,0,0,0,0,0,0.01,0,0.01,0.09,0,0.03,0.01,0
0,0.01,0.01,0,0,0.01,0,0,0,0.29,0,0,0.02,0,0.09,0.01,0,0,0,0,0.01,0,0,0.01
0.04,0,0.01,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0.01
0,0.02,0.1,0,0,0,0.01,0,0,0,0,0.29,0.01,0,0,0.01,0,0,0,0,0,0,0,0.07
0,0.06,0.04,0,0,0.01,0,0,0,0,0,0,0.23,0,0.05,0.04,0,0,0,0,0,0,0,0.05
0,0.03,0,0,0.01,0,0.02,0,0,0,0,0,0,0.35,0,0,0.05,0,0,0.01,0,0,0,0.01
0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.34,0.03,0,0,0,0,0,0,0,0.01
0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0.05,0.21,0,0,0,0,0,0,0,0.01
0,0.11,0.01,0,0,0,0,0,0,0,0,0,0.01,0.04,0.02,0.04,0.24,0,0,0.03,0,0,0,0.01
0,0.01,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0.03,0,0.39,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.14,0.03,0
0,0.02,0,0,0.02,0,0,0,0.03,0,0,0,0,0.01,0,0,0.03,0,0,0.34,0,0.01,0,0.01
0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.02,0,0,0,0,0,0.29,0,0,0
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.36,0.04,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0.06,0.33,0
0,0.03,0.11,0,0,0,0,0,0,0,0,0.01,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0.3
